#{"t_start": 1638945678.4643216, "env_id": null}
r,l,t
9.517421,921,3.415489
9.54837,924,5.594833
9.600036,929,7.790794
9.610369,930,10.014412
9.538036,923,12.163969
9.558668,925,15.440069
9.527703,922,17.731779
9.465704,916,20.095841
9.558703,925,22.498558
9.600036,929,24.856529
9.496745,919,28.174023
9.51737,921,30.42395
9.610369,930,32.814671
9.610369,930,35.132557
9.538036,923,37.357955
9.517331,921,40.731153
9.496704,919,43.055589
9.507037,920,45.319469
9.610369,930,47.616
9.496704,919,49.913184
9.527739,922,53.341886
9.54837,924,55.657439
9.538036,923,58.027802
9.54837,924,60.333485
9.496704,919,62.602158
9.496686,919,65.89839
9.558703,925,68.212386
9.569036,926,70.511209
9.455371,915,72.816433
9.600036,929,75.134613
9.579372,927,78.582347
9.527703,922,80.807953
9.48637,918,83.045791
9.538036,923,85.294063
9.579369,927,87.635843
9.569027,926,91.043891
9.54837,924,93.358047
9.527703,922,95.607612
9.507037,920,97.998969
9.600036,929,100.167162
9.507038,920,103.417207
9.527703,922,105.721192
9.600036,929,107.968371
9.558703,925,110.220277
9.589702,928,112.525955
9.486265,918,115.789402
9.558703,925,118.132459
9.476037,917,120.435437
9.600036,929,122.760365
9.558703,925,125.014392
9.631019,932,128.380255
9.569036,926,130.692357
9.589702,928,132.921012
9.496704,919,135.159663
9.538036,923,137.393639
9.569107,926,140.719429
9.48637,918,143.003067
9.476037,917,145.303335
9.558703,925,147.581646
9.48637,918,149.871043
9.548403,924,153.193255
9.476037,917,155.511057
9.610369,930,157.893063
9.486371,918,160.148502
9.486371,918,162.463974
9.537322,923,165.858398
9.465704,916,168.205183
9.51737,921,170.561614
9.620702,931,172.982475
9.527703,922,175.34175
9.579348,927,178.783324
9.589702,928,181.177129
9.51737,921,183.552042
9.610369,930,185.963577
9.558703,925,188.362474
9.53805,923,191.746964
9.465704,916,194.095613
9.569036,926,196.477191
9.610369,930,198.882842
9.579369,927,201.258115
9.538038,923,204.699965
9.600036,929,207.011651
9.476037,917,209.250739
9.54837,924,211.553571
9.527703,922,213.850146
9.600024,929,217.162768
9.589702,928,219.429769
9.496704,919,221.698731
9.620702,931,224.000496
9.476037,917,226.384247
9.517411,921,229.79912
9.496704,919,232.176618
9.610369,930,234.578684
9.589702,928,236.83029
9.465704,916,239.122202
9.620772,931,242.424049
9.538036,923,244.592198
9.507037,920,246.826068
9.589702,928,249.154884
9.589702,928,251.482676
